==============BoostCF #[3]===============
The initial unexplained part (sum of rating matrix) is 85132.000000
learningRate=[0.000000], dim=[1], lambda=[0.00], lambda_social=[0.00], lambda_item=[0.00], sim_threshold=[1.000000]
-------------------------------------------
Round[1]: Size[2071×1642], Iteration[100], Unexplained part[50171.635016], Percentage[58.933932%], delta%=[41.066068%]
Round[2]: Size[2071×1642], Iteration[100], Unexplained part[37585.534955], Percentage[44.149715%], delta%=[14.784218%]
Round[3]: Size[2071×7], Iteration[100], Unexplained part[37406.845482], Percentage[43.939818%], delta%=[0.209897%]
Round[4]: Size[2071×1642], Iteration[100], Unexplained part[34671.333110], Percentage[40.726558%], delta%=[3.213260%]
Round[5]: Size[2071×1642], Iteration[100], Unexplained part[32839.635147], Percentage[38.574960%], delta%=[2.151597%]
Round[6]: Size[2071×1642], Iteration[100], Unexplained part[31258.510821], Percentage[36.717698%], delta%=[1.857262%]
Round[7]: Size[2071×1642], Iteration[100], Unexplained part[29875.274158], Percentage[35.092884%], delta%=[1.624814%]
Round[8]: Size[2071×1642], Iteration[100], Unexplained part[28676.062701], Percentage[33.684235%], delta%=[1.408649%]
Round[9]: Size[2071×3], Iteration[100], Unexplained part[28636.488174], Percentage[33.637749%], delta%=[0.046486%]
Round[10]: Size[2071×1642], Iteration[100], Unexplained part[27590.043826], Percentage[32.408547%], delta%=[1.229202%]
Round[11]: Size[2071×1642], Iteration[100], Unexplained part[26612.564716], Percentage[31.260354%], delta%=[1.148192%]
Round[12]: Size[2071×1642], Iteration[100], Unexplained part[25674.406060], Percentage[30.158349%], delta%=[1.102005%]
Round[13]: Size[2071×1642], Iteration[100], Unexplained part[24797.012967], Percentage[29.127723%], delta%=[1.030627%]
Round[14]: Size[2071×10], Iteration[100], Unexplained part[24705.074819], Percentage[29.019728%], delta%=[0.107995%]
Round[15]: Size[2071×15], Iteration[100], Unexplained part[24603.391132], Percentage[28.900286%], delta%=[0.119442%]
Round[16]: Size[2071×3], Iteration[100], Unexplained part[24576.670598], Percentage[28.868898%], delta%=[0.031387%]
Round[17]: Size[2071×25], Iteration[100], Unexplained part[24439.451892], Percentage[28.707715%], delta%=[0.161183%]
Round[18]: Size[2071×1642], Iteration[100], Unexplained part[23582.665493], Percentage[27.701294%], delta%=[1.006421%]
Round[19]: Size[2071×1642], Iteration[100], Unexplained part[22767.672927], Percentage[26.743966%], delta%=[0.957328%]
Round[20]: Size[2071×1642], Iteration[100], Unexplained part[21999.311672], Percentage[25.841413%], delta%=[0.902553%]
Round[21]: Size[2071×8], Iteration[100], Unexplained part[21952.563056], Percentage[25.786500%], delta%=[0.054913%]
