==============BoostCF #[3]===============
The initial unexplained part (sum of rating matrix) is 181651.000000
learningRate=[0.000000], dim=[1], lambda=[0.00], lambda_social=[0.00], lambda_item=[0.00], sim_threshold=[0.800000]
-------------------------------------------
Round[1]: Size[4×5257], Iteration[50], Unexplained part[186421.811511], Percentage[102.626361%], delta%=[-2.626361%]
Round[2]: Size[6×5257], Iteration[50], Unexplained part[26262247217608.792969], Percentage[14457529668.214760%], delta%=[-14457529565.588396%]
Round[3]: Size[1715×12], Iteration[50], Unexplained part[869555036768.883301], Percentage[478695430.671388%], delta%=[13978834237.543371%]
Round[4]: Size[211×5257], Iteration[50], Unexplained part[146586723005.494843], Percentage[80696898.451148%], delta%=[397998532.220240%]
Round[5]: Size[51×5257], Iteration[50], Unexplained part[75846643621.308258], Percentage[41754046.837787%], delta%=[38942851.613361%]
Round[6]: Size[21×5257], Iteration[50], Unexplained part[66902534296.737663], Percentage[36830259.286620%], delta%=[4923787.551167%]
Round[7]: Size[18×5257], Iteration[50], Unexplained part[57843186535.270844], Percentage[31843032.262564%], delta%=[4987227.024055%]
Round[8]: Size[35×5257], Iteration[50], Unexplained part[42041239988.087822], Percentage[23143962.867305%], delta%=[8699069.395260%]
Round[9]: Size[34×5257], Iteration[50], Unexplained part[39810803098.423981], Percentage[21916093.552154%], delta%=[1227869.315150%]
Round[10]: Size[22×5257], Iteration[50], Unexplained part[28035116054.159313], Percentage[15433504.937578%], delta%=[6482588.614577%]
Round[11]: Size[24×5257], Iteration[50], Unexplained part[12261626002.810858], Percentage[6750101.019433%], delta%=[8683403.918144%]
Round[12]: Size[16×5257], Iteration[50], Unexplained part[11737760396.537590], Percentage[6461709.760220%], delta%=[288391.259213%]
Round[13]: Size[11×5257], Iteration[50], Unexplained part[8122722567.333870], Percentage[4471609.056561%], delta%=[1990100.703659%]
Round[14]: Size[1715×10], Iteration[50], Unexplained part[5738576896.421585], Percentage[3159122.105808%], delta%=[1312486.950753%]
Round[15]: Size[1715×5257], Iteration[50], Unexplained part[154849569.299356], Percentage[85245.646487%], delta%=[3073876.459322%]
Round[16]: Size[45×6], Iteration[50], Unexplained part[154849567.918099], Percentage[85245.645726%], delta%=[0.000760%]
Round[17]: Size[42×6], Iteration[50], Unexplained part[154849567.918099], Percentage[85245.645726%], delta%=[0.000000%]
Round[18]: Size[1715×6], Iteration[50], Unexplained part[88852986.046786], Percentage[48914.118858%], delta%=[36331.526868%]
Round[19]: Size[46×5257], Iteration[50], Unexplained part[68333077.819427], Percentage[37617.782352%], delta%=[11296.336506%]
Round[20]: Size[6×5257], Iteration[50], Unexplained part[54754956.553966], Percentage[30142.942540%], delta%=[7474.839811%]
Round[21]: Size[57×5257], Iteration[50], Unexplained part[41312368.661100], Percentage[22742.714690%], delta%=[7400.227851%]
Round[22]: Size[3×5257], Iteration[50], Unexplained part[24483377.642469], Percentage[13478.250955%], delta%=[9264.463735%]
Round[23]: Size[1715×5257], Iteration[50], Unexplained part[2621155.407978], Percentage[1442.962278%], delta%=[12035.288677%]
Round[24]: Size[46×5257], Iteration[50], Unexplained part[2162951.753712], Percentage[1190.718330%], delta%=[252.243948%]
Round[25]: Size[7×5257], Iteration[50], Unexplained part[2067409.081888], Percentage[1138.121498%], delta%=[52.596832%]
Round[26]: Size[1715×5257], Iteration[50], Unexplained part[1053501.038059], Percentage[579.958843%], delta%=[558.162655%]
Round[27]: Size[9×5257], Iteration[50], Unexplained part[965458.832513], Percentage[531.491064%], delta%=[48.467779%]
Round[28]: Size[1715×5257], Iteration[50], Unexplained part[495582.279876], Percentage[272.821113%], delta%=[258.669951%]
Round[29]: Size[1715×5257], Iteration[50], Unexplained part[346628.697249], Percentage[190.821244%], delta%=[81.999869%]
Round[30]: Size[4×5257], Iteration[50], Unexplained part[340404.399102], Percentage[187.394729%], delta%=[3.426515%]
Round[31]: Size[1715×5257], Iteration[50], Unexplained part[264204.506769], Percentage[145.446217%], delta%=[41.948512%]
Round[32]: Size[3×5257], Iteration[50], Unexplained part[264098.702539], Percentage[145.387971%], delta%=[0.058246%]
Round[33]: Size[4×5257], Iteration[50], Unexplained part[261288.891528], Percentage[143.841152%], delta%=[1.546818%]
Round[34]: Size[4×5257], Iteration[50], Unexplained part[261000.653723], Percentage[143.682476%], delta%=[0.158677%]
Round[35]: Size[4×5257], Iteration[50], Unexplained part[260423.573562], Percentage[143.364789%], delta%=[0.317686%]
Round[36]: Size[4×6], Iteration[0], Unexplained part[260423.573562], Percentage[143.364789%], delta%=[0.000000%]
Round[37]: Size[1715×5257], Iteration[50], Unexplained part[217848.088348], Percentage[119.926721%], delta%=[23.438068%]
Round[38]: Size[4×5257], Iteration[50], Unexplained part[217757.606797], Percentage[119.876911%], delta%=[0.049811%]
Round[39]: Size[1715×5257], Iteration[50], Unexplained part[190238.307462], Percentage[104.727366%], delta%=[15.149545%]
Round[40]: Size[1715×5257], Iteration[50], Unexplained part[172068.873097], Percentage[94.724980%], delta%=[10.002386%]
Round[41]: Size[1715×5257], Iteration[50], Unexplained part[159105.367398], Percentage[87.588490%], delta%=[7.136490%]
Round[42]: Size[1715×5257], Iteration[50], Unexplained part[148283.921032], Percentage[81.631216%], delta%=[5.957273%]
Round[43]: Size[1715×5257], Iteration[50], Unexplained part[138949.655628], Percentage[76.492646%], delta%=[5.138571%]
Round[44]: Size[1715×5257], Iteration[50], Unexplained part[133689.441717], Percentage[73.596865%], delta%=[2.895780%]
Round[45]: Size[4×5257], Iteration[50], Unexplained part[133602.049396], Percentage[73.548755%], delta%=[0.048110%]
Round[46]: Size[1715×5257], Iteration[50], Unexplained part[129342.012091], Percentage[71.203578%], delta%=[2.345177%]
Round[47]: Size[4×5257], Iteration[50], Unexplained part[129195.732175], Percentage[71.123050%], delta%=[0.080528%]
Round[48]: Size[3×5257], Iteration[50], Unexplained part[128813.801189], Percentage[70.912795%], delta%=[0.210255%]
Round[49]: Size[1715×5257], Iteration[50], Unexplained part[124455.758551], Percentage[68.513666%], delta%=[2.399129%]
Round[50]: Size[4×5257], Iteration[50], Unexplained part[123066.504144], Percentage[67.748872%], delta%=[0.764793%]
Round[51]: Size[1715×5257], Iteration[50], Unexplained part[118288.447658], Percentage[65.118523%], delta%=[2.630350%]
Round[52]: Size[1715×5257], Iteration[50], Unexplained part[115116.676469], Percentage[63.372443%], delta%=[1.746080%]
Round[53]: Size[1715×5257], Iteration[50], Unexplained part[111528.671849], Percentage[61.397224%], delta%=[1.975219%]
Round[54]: Size[4×5257], Iteration[50], Unexplained part[111478.315625], Percentage[61.369503%], delta%=[0.027721%]
Round[55]: Size[4×5257], Iteration[50], Unexplained part[111372.624656], Percentage[61.311319%], delta%=[0.058184%]
Round[56]: Size[1715×5257], Iteration[50], Unexplained part[99484.803220], Percentage[54.767000%], delta%=[6.544319%]
Round[57]: Size[4×5257], Iteration[50], Unexplained part[99236.407585], Percentage[54.630257%], delta%=[0.136743%]
Round[58]: Size[1715×5257], Iteration[50], Unexplained part[95563.968859], Percentage[52.608556%], delta%=[2.021700%]
Round[59]: Size[1715×5257], Iteration[50], Unexplained part[92968.878412], Percentage[51.179943%], delta%=[1.428613%]
Round[60]: Size[1715×5257], Iteration[50], Unexplained part[90048.622658], Percentage[49.572324%], delta%=[1.607619%]
Round[61]: Size[1715×5257], Iteration[50], Unexplained part[84036.082857], Percentage[46.262384%], delta%=[3.309940%]
Round[62]: Size[1715×5257], Iteration[50], Unexplained part[81920.160687], Percentage[45.097556%], delta%=[1.164828%]
