==============BoostCF #[3]===============
The initial unexplained part (sum of rating matrix) is 725640.000000
learningRate=[0.000000], dim=[1], lambda=[0.00], lambda_social=[0.00], lambda_item=[0.00], sim_threshold=[0.800000]
-------------------------------------------
Round[1]: Size[22×45], Iteration[50], Unexplained part[725627.000000], Percentage[99.998208%], delta%=[0.001792%]
Round[2]: Size[13×84], Iteration[50], Unexplained part[725611.000000], Percentage[99.996004%], delta%=[0.002205%]
Round[3]: Size[22×13], Iteration[50], Unexplained part[725560.924874], Percentage[99.989103%], delta%=[0.006901%]
Round[4]: Size[5014×23], Iteration[50], Unexplained part[719792.583389], Percentage[99.194171%], delta%=[0.794932%]
Round[5]: Size[11×8], Iteration[50], Unexplained part[719770.583390], Percentage[99.191139%], delta%=[0.003032%]
Round[6]: Size[10×19], Iteration[50], Unexplained part[719753.584608], Percentage[99.188797%], delta%=[0.002343%]
Round[7]: Size[21×35], Iteration[50], Unexplained part[719752.584608], Percentage[99.188659%], delta%=[0.000138%]
Round[8]: Size[12×15], Iteration[0], Unexplained part[719752.584608], Percentage[99.188659%], delta%=[0.000000%]
Round[9]: Size[22×72], Iteration[50], Unexplained part[719742.584608], Percentage[99.187281%], delta%=[0.001378%]
Round[10]: Size[16×20], Iteration[50], Unexplained part[719708.280302], Percentage[99.182553%], delta%=[0.004727%]
Round[11]: Size[14×13], Iteration[0], Unexplained part[719708.280302], Percentage[99.182553%], delta%=[0.000000%]
Round[12]: Size[18×3890], Iteration[50], Unexplained part[717544.695280], Percentage[98.884391%], delta%=[0.298162%]
Round[13]: Size[20×3], Iteration[0], Unexplained part[717544.695280], Percentage[98.884391%], delta%=[0.000000%]
Round[14]: Size[13×70], Iteration[50], Unexplained part[717542.530284], Percentage[98.884093%], delta%=[0.000298%]
Round[15]: Size[5×202], Iteration[50], Unexplained part[717520.044456], Percentage[98.880994%], delta%=[0.003099%]
Round[16]: Size[22×372], Iteration[50], Unexplained part[717304.610677], Percentage[98.851305%], delta%=[0.029689%]
Round[17]: Size[22×3], Iteration[50], Unexplained part[717302.610677], Percentage[98.851030%], delta%=[0.000276%]
Round[18]: Size[21×43], Iteration[50], Unexplained part[717243.912098], Percentage[98.842940%], delta%=[0.008089%]
Round[19]: Size[22×73], Iteration[50], Unexplained part[717142.917814], Percentage[98.829022%], delta%=[0.013918%]
Round[20]: Size[19×184], Iteration[50], Unexplained part[717124.836577], Percentage[98.826531%], delta%=[0.002492%]
Round[21]: Size[5×149], Iteration[0], Unexplained part[717124.836577], Percentage[98.826531%], delta%=[0.000000%]
Round[22]: Size[5014×17], Iteration[50], Unexplained part[715481.065773], Percentage[98.600004%], delta%=[0.226527%]
Round[23]: Size[18×99], Iteration[0], Unexplained part[715481.065773], Percentage[98.600004%], delta%=[0.000000%]
Round[24]: Size[15×94], Iteration[50], Unexplained part[715473.321315], Percentage[98.598936%], delta%=[0.001067%]
Round[25]: Size[13×210], Iteration[50], Unexplained part[715473.321315], Percentage[98.598936%], delta%=[0.000000%]
Round[26]: Size[16×12], Iteration[0], Unexplained part[715473.321315], Percentage[98.598936%], delta%=[0.000000%]
Round[27]: Size[22×5], Iteration[0], Unexplained part[715473.321315], Percentage[98.598936%], delta%=[0.000000%]
Round[28]: Size[18×42], Iteration[50], Unexplained part[715402.254190], Percentage[98.589143%], delta%=[0.009794%]
Round[29]: Size[5×37], Iteration[0], Unexplained part[715402.254190], Percentage[98.589143%], delta%=[0.000000%]
Round[30]: Size[15×3], Iteration[50], Unexplained part[715398.254190], Percentage[98.588591%], delta%=[0.000551%]
Round[31]: Size[22×23], Iteration[50], Unexplained part[715376.644354], Percentage[98.585613%], delta%=[0.002978%]
Round[32]: Size[5014×7], Iteration[50], Unexplained part[713771.270586], Percentage[98.364378%], delta%=[0.221236%]
Round[33]: Size[13×156], Iteration[50], Unexplained part[713680.335110], Percentage[98.351846%], delta%=[0.012532%]
Round[34]: Size[20×97], Iteration[50], Unexplained part[713585.598131], Percentage[98.338790%], delta%=[0.013056%]
Round[35]: Size[19×5], Iteration[50], Unexplained part[713581.560371], Percentage[98.338234%], delta%=[0.000556%]
Round[36]: Size[22×26], Iteration[50], Unexplained part[713551.124219], Percentage[98.334039%], delta%=[0.004194%]
Round[37]: Size[22×13], Iteration[0], Unexplained part[713551.124219], Percentage[98.334039%], delta%=[0.000000%]
Round[38]: Size[16×260], Iteration[50], Unexplained part[713503.167546], Percentage[98.327431%], delta%=[0.006609%]
Round[39]: Size[4×149], Iteration[0], Unexplained part[713503.167546], Percentage[98.327431%], delta%=[0.000000%]
Round[40]: Size[4×91], Iteration[0], Unexplained part[713503.167546], Percentage[98.327431%], delta%=[0.000000%]
Round[41]: Size[5×4], Iteration[0], Unexplained part[713503.167546], Percentage[98.327431%], delta%=[0.000000%]
Round[42]: Size[22×87], Iteration[50], Unexplained part[713494.096020], Percentage[98.326180%], delta%=[0.001250%]
Round[43]: Size[22×9], Iteration[50], Unexplained part[713476.422480], Percentage[98.323745%], delta%=[0.002436%]
Round[44]: Size[5014×17], Iteration[50], Unexplained part[711787.800157], Percentage[98.091037%], delta%=[0.232708%]
Round[45]: Size[7×300], Iteration[50], Unexplained part[711781.543368], Percentage[98.090175%], delta%=[0.000862%]
Round[46]: Size[13×50], Iteration[50], Unexplained part[711747.884891], Percentage[98.085536%], delta%=[0.004638%]
Round[47]: Size[16×7], Iteration[50], Unexplained part[711745.082895], Percentage[98.085150%], delta%=[0.000386%]
Round[48]: Size[22×9], Iteration[50], Unexplained part[711730.813181], Percentage[98.083184%], delta%=[0.001967%]
Round[49]: Size[22×5], Iteration[50], Unexplained part[711730.803870], Percentage[98.083182%], delta%=[0.000001%]
Round[50]: Size[7×29], Iteration[50], Unexplained part[711726.721485], Percentage[98.082620%], delta%=[0.000563%]
Round[51]: Size[6×19], Iteration[0], Unexplained part[711726.721485], Percentage[98.082620%], delta%=[0.000000%]
Round[52]: Size[18×101], Iteration[50], Unexplained part[711726.721484], Percentage[98.082620%], delta%=[0.000000%]
Round[53]: Size[22×42], Iteration[50], Unexplained part[711706.134596], Percentage[98.079783%], delta%=[0.002837%]
Round[54]: Size[22×24], Iteration[50], Unexplained part[711700.252024], Percentage[98.078972%], delta%=[0.000811%]
Round[55]: Size[19×19], Iteration[50], Unexplained part[711685.175698], Percentage[98.076894%], delta%=[0.002078%]
Round[56]: Size[4×9], Iteration[0], Unexplained part[711685.175698], Percentage[98.076894%], delta%=[0.000000%]
Round[57]: Size[22×13], Iteration[50], Unexplained part[711673.435065], Percentage[98.075276%], delta%=[0.001618%]
Round[58]: Size[22×9], Iteration[50], Unexplained part[711673.427910], Percentage[98.075275%], delta%=[0.000001%]
Round[59]: Size[20×7], Iteration[0], Unexplained part[711673.427910], Percentage[98.075275%], delta%=[0.000000%]
Round[60]: Size[22×94], Iteration[50], Unexplained part[711595.107589], Percentage[98.064482%], delta%=[0.010793%]
Round[61]: Size[5014×20], Iteration[50], Unexplained part[710512.473066], Percentage[97.915285%], delta%=[0.149197%]
Round[62]: Size[20×32], Iteration[0], Unexplained part[710512.473066], Percentage[97.915285%], delta%=[0.000000%]
Round[63]: Size[20×545], Iteration[50], Unexplained part[710471.905133], Percentage[97.909694%], delta%=[0.005591%]
Round[64]: Size[22×28], Iteration[0], Unexplained part[710471.905133], Percentage[97.909694%], delta%=[0.000000%]
Round[65]: Size[22×70], Iteration[50], Unexplained part[710467.905133], Percentage[97.909143%], delta%=[0.000551%]
Round[66]: Size[13×7], Iteration[0], Unexplained part[710467.905133], Percentage[97.909143%], delta%=[0.000000%]
Round[67]: Size[22×4], Iteration[50], Unexplained part[710467.873757], Percentage[97.909139%], delta%=[0.000004%]
Round[68]: Size[9×71], Iteration[50], Unexplained part[710417.291711], Percentage[97.902168%], delta%=[0.006971%]
Round[69]: Size[17×32], Iteration[0], Unexplained part[710417.291711], Percentage[97.902168%], delta%=[0.000000%]
Round[70]: Size[21×13], Iteration[50], Unexplained part[710417.079233], Percentage[97.902139%], delta%=[0.000029%]
Round[71]: Size[5014×193], Iteration[50], Unexplained part[682417.138510], Percentage[94.043484%], delta%=[3.858655%]
Round[72]: Size[19×16], Iteration[50], Unexplained part[682417.138491], Percentage[94.043484%], delta%=[0.000000%]
Round[73]: Size[15×189], Iteration[50], Unexplained part[682404.709705], Percentage[94.041771%], delta%=[0.001713%]
Round[74]: Size[13×220], Iteration[50], Unexplained part[682395.494001], Percentage[94.040501%], delta%=[0.001270%]
Round[75]: Size[13×11], Iteration[0], Unexplained part[682395.494001], Percentage[94.040501%], delta%=[0.000000%]
Round[76]: Size[21×531], Iteration[50], Unexplained part[682026.578021], Percentage[93.989661%], delta%=[0.050840%]
Round[77]: Size[5014×25], Iteration[50], Unexplained part[679251.813505], Percentage[93.607273%], delta%=[0.382389%]
Round[78]: Size[5×153], Iteration[0], Unexplained part[679251.813505], Percentage[93.607273%], delta%=[0.000000%]
Round[79]: Size[17×3890], Iteration[50], Unexplained part[678690.904843], Percentage[93.529974%], delta%=[0.077298%]
Round[80]: Size[22×136], Iteration[50], Unexplained part[678592.506704], Percentage[93.516414%], delta%=[0.013560%]
Round[81]: Size[10×13], Iteration[0], Unexplained part[678592.506704], Percentage[93.516414%], delta%=[0.000000%]
Round[82]: Size[18×9], Iteration[0], Unexplained part[678592.506704], Percentage[93.516414%], delta%=[0.000000%]
Round[83]: Size[22×33], Iteration[50], Unexplained part[678579.680531], Percentage[93.514646%], delta%=[0.001768%]
Round[84]: Size[4×11], Iteration[0], Unexplained part[678579.680531], Percentage[93.514646%], delta%=[0.000000%]
Round[85]: Size[13×39], Iteration[50], Unexplained part[678577.726397], Percentage[93.514377%], delta%=[0.000269%]
Round[86]: Size[7×49], Iteration[50], Unexplained part[678571.786369], Percentage[93.513559%], delta%=[0.000819%]
Round[87]: Size[8×436], Iteration[50], Unexplained part[678497.415277], Percentage[93.503310%], delta%=[0.010249%]
Round[88]: Size[20×99], Iteration[50], Unexplained part[678496.415277], Percentage[93.503172%], delta%=[0.000138%]
Round[89]: Size[5×36], Iteration[0], Unexplained part[678496.415277], Percentage[93.503172%], delta%=[0.000000%]
Round[90]: Size[22×10], Iteration[0], Unexplained part[678496.415277], Percentage[93.503172%], delta%=[0.000000%]
Round[91]: Size[13×48], Iteration[50], Unexplained part[678496.284919], Percentage[93.503154%], delta%=[0.000018%]
Round[92]: Size[20×91], Iteration[0], Unexplained part[678496.284919], Percentage[93.503154%], delta%=[0.000000%]
Round[93]: Size[19×93], Iteration[0], Unexplained part[678496.284919], Percentage[93.503154%], delta%=[0.000000%]
Round[94]: Size[19×24], Iteration[50], Unexplained part[678494.215107], Percentage[93.502869%], delta%=[0.000285%]
Round[95]: Size[18×16], Iteration[0], Unexplained part[678494.215107], Percentage[93.502869%], delta%=[0.000000%]
Round[96]: Size[19×60], Iteration[0], Unexplained part[678494.215107], Percentage[93.502869%], delta%=[0.000000%]
Round[97]: Size[20×58], Iteration[0], Unexplained part[678494.215107], Percentage[93.502869%], delta%=[0.000000%]
Round[98]: Size[20×46], Iteration[50], Unexplained part[678474.762817], Percentage[93.500188%], delta%=[0.002681%]
Round[99]: Size[5014×32], Iteration[50], Unexplained part[674489.915029], Percentage[92.951038%], delta%=[0.549149%]
Round[100]: Size[5014×19], Iteration[50], Unexplained part[670609.070188], Percentage[92.416222%], delta%=[0.534817%]


==============BoostCF #[4]===============
